City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,cloverdale,38.8055,-123.0172,67.93,72,11,3.0,US,1701735752
306,kigoma,-4.8769,29.6267,70.25,91,100,5.73,TZ,1701735753
307,la passe,45.5549,-0.8967,49.98,61,67,21.61,FR,1701735502
308,sijunjung,-0.6876,100.9537,74.19,94,91,0.27,ID,1701735580
309,pisco,-13.7,-76.2167,68.05,83,0,12.66,PE,1701735455
310,naze,28.3667,129.4833,65.32,81,71,16.51,JP,1701735499
311,vila franca do campo,37.7167,-25.4333,54.01,80,18,4.12,PT,1701735754
312,college,64.8569,-147.8028,-1.55,74,40,0.0,US,1701735425
313,isangel,-19.55,169.2667,83.71,69,88,7.18,VU,1701735754
314,zuyevka,58.405,51.1335,8.47,95,95,7.2,RU,1701735755
315,cill airne,52.05,-9.5167,37.17,90,10,3.71,IE,1701735755
316,praia da vitoria,38.7333,-27.0667,62.76,72,20,10.49,PT,1701735483
317,sambava,-14.2667,50.1667,74.32,84,1,10.42,MG,1701735755
318,kerouane,9.2667,-9.0167,70.83,46,46,3.22,GN,1701735756
319,bjuv,56.0837,12.9191,34.99,95,87,1.14,SE,1701735756
320,villa bruzual,9.3328,-69.1208,81.36,57,90,1.86,VE,1701735757
321,acarau,-2.8856,-40.12,80.78,80,91,14.65,BR,1701735757
322,bengkulu,-3.8004,102.2655,75.99,90,100,3.91,ID,1701735757
323,tralee,52.2704,-9.7026,41.27,80,12,7.36,IE,1701735758
324,anar darah,32.7587,61.654,52.21,27,1,3.15,AF,1701735759
325,la foa,-21.7108,165.8276,85.37,55,100,5.17,NC,1701735759
326,ugoofaaru,5.6667,73.0,83.66,74,80,14.97,MV,1701735759
327,znamenskoye,57.1281,73.8282,3.51,95,100,10.56,RU,1701735759
328,borogontsy,62.6683,131.1683,-57.05,100,64,3.31,RU,1701735760
329,malabar,-33.9667,151.25,91.02,56,0,8.05,AU,1701735760
330,todos santos,23.45,-110.2167,79.45,70,0,1.92,MX,1701735760
331,adrar,20.5022,-10.0711,68.13,28,52,6.93,MR,1701735761
332,al jawf,29.5,38.75,64.8,42,0,15.7,SA,1701735528
333,i-n-salah,27.1935,2.4607,56.28,37,15,10.02,DZ,1701735761
334,attapeu,14.8,106.8333,73.51,86,95,2.51,LA,1701735762
335,roma,43.2128,-75.4557,35.73,91,100,11.99,US,1701735281
336,vila velha,-20.3297,-40.2925,80.55,82,0,13.8,BR,1701735572
337,bolhrad,45.6826,28.6149,30.78,71,10,6.62,UA,1701735762
338,puerto baquerizo moreno,-0.9,-89.6,74.68,81,75,9.8,EC,1701735446
339,cheremshan,54.6667,51.5,11.12,94,100,12.03,RU,1701735763
340,cavan,53.9908,-7.3606,33.64,95,45,5.97,IE,1701735763
341,kenora,49.8167,-94.4337,31.17,74,100,2.3,CA,1701735763
342,luena,-11.7833,19.9167,62.6,88,100,3.22,AO,1701735764
343,ibipeba,-11.6408,-42.0111,74.64,62,68,0.6,BR,1701735764
344,luderitz,-26.6481,15.1594,59.63,73,0,18.5,NA,1701735494
345,kinana,14.0361,33.1712,79.23,29,24,11.16,SD,1701735764
346,lushun,38.8,121.2667,39.42,61,0,4.43,CN,1701735764
347,el tigre,8.8875,-64.2454,79.0,68,98,11.9,VE,1701735765
348,verkhniye kigi,55.4083,58.6044,18.07,90,97,15.08,RU,1701735765
349,bonthe,7.5264,-12.505,79.12,84,55,4.74,SL,1701735497
350,noumea,-22.2763,166.4572,89.58,99,100,13.0,NC,1701735765
351,totness,5.8833,-56.3167,80.02,83,5,13.31,SR,1701735765
352,ashoknagar,24.5667,77.7167,58.87,91,56,6.64,IN,1701735766
353,chibougamau,49.9168,-74.3659,-2.38,98,20,4.43,CA,1701735211
354,antonio enes,-16.2325,39.9086,77.41,80,80,1.81,MZ,1701735766
355,barcelos,41.5388,-8.6151,48.85,89,73,3.8,PT,1701735462
356,san mariano,7.5,126.0,78.08,81,89,2.68,PH,1701735766
357,afaahiti,-17.75,-149.2833,84.07,79,77,18.03,PF,1701735504
358,kismayo,-0.3582,42.5454,81.37,79,51,9.78,SO,1701735767
359,rreshen,41.7675,19.8756,42.08,74,92,3.8,AL,1701735767
360,tual,-5.6667,132.75,81.81,78,100,7.11,ID,1701735767
